quarter,station,corridor,dpr_projected_daily_ridership,actual_daily_ridership,actual_vs_projected_pct,last_mile_score,fare_sensitivity_score,common_mobility_card_share
2025-Q2,PhaseI-25,Phase II,24280,11654,48.0,46,94,22
2025-Q3,PhaseI-26,Phase I,21500,11825,55.0,57,36,27
2025-Q4,PhaseI-27,Phase I Extension,23720,14706,62.0,68,49,32
2025-Q1,PhaseI-28,Phase II,25540,17623,69.0,79,62,37
2025-Q2,PhaseI-29,Phase I,22760,17298,76.0,90,75,42
2025-Q3,PhaseI-30,Phase I Extension,24980,11990,48.0,50,88,47
2025-Q4,PhaseI-31,Phase II,26800,14740,55.0,61,30,52
2025-Q1,PhaseI-32,Phase I,24020,14892,62.0,72,43,57
2025-Q2,PhaseI-33,Phase I Extension,26240,18106,69.0,83,56,62
2025-Q3,PhaseI-34,Phase II,28060,21326,76.0,94,69,67
2025-Q4,PhaseI-35,Phase I,25280,12134,48.0,54,82,72
2025-Q1,PhaseI-36,Phase I Extension,27500,15125,55.0,65,95,77
2025-Q2,PhaseI-37,Phase II,29320,18178,62.0,76,37,82
2025-Q3,PhaseI-38,Phase I,26540,18313,69.0,87,50,22
2025-Q4,PhaseI-39,Phase I Extension,28760,21858,76.0,47,63,27
2025-Q1,PhaseI-40,Phase II,30580,14678,48.0,58,76,32
2025-Q2,PhaseI-41,Phase I,27800,15290,55.0,69,89,37
2025-Q3,PhaseI-01,Phase I Extension,12800,7936,62.0,80,31,42
2025-Q4,PhaseI-02,Phase II,14620,10088,69.0,91,44,47
2025-Q1,PhaseI-03,Phase I,11840,8998,76.0,51,57,52
2025-Q2,PhaseI-04,Phase I Extension,14060,6749,48.0,62,70,57
2025-Q3,PhaseI-05,Phase II,15880,8734,55.0,73,83,62
2025-Q4,PhaseI-06,Phase I,13100,8122,62.0,84,96,67
2025-Q1,PhaseI-07,Phase I Extension,15320,10571,69.0,95,38,72
2025-Q2,PhaseI-08,Phase II,17140,13026,76.0,55,51,77
2025-Q3,PhaseI-09,Phase I,14360,6893,48.0,66,64,82
2025-Q4,PhaseI-10,Phase I Extension,16580,9119,55.0,77,77,22
2025-Q1,PhaseI-11,Phase II,18400,11408,62.0,88,90,27
2025-Q2,PhaseI-12,Phase I,15620,10778,69.0,48,32,32
2025-Q3,PhaseI-13,Phase I Extension,17840,13558,76.0,59,45,37
2025-Q4,PhaseI-14,Phase II,19660,9437,48.0,70,58,42
2025-Q1,PhaseI-15,Phase I,16880,9284,55.0,81,71,47
2025-Q2,PhaseI-16,Phase I Extension,19100,11842,62.0,92,84,52
2025-Q3,PhaseI-17,Phase II,20920,14435,69.0,52,97,57
2025-Q4,PhaseI-18,Phase I,18140,13786,76.0,63,39,62
2025-Q1,PhaseI-19,Phase I Extension,20360,9773,48.0,74,52,67
2025-Q2,PhaseI-20,Phase II,22180,12199,55.0,85,65,72
2025-Q3,PhaseI-21,Phase I,19400,12028,62.0,45,78,77
2025-Q4,PhaseI-22,Phase I Extension,21620,14918,69.0,56,91,82
2025-Q1,PhaseI-23,Phase II,23440,17814,76.0,67,33,22
2025-Q2,PhaseI-24,Phase I,20660,9917,48.0,78,46,27
2025-Q3,PhaseI-25,Phase I Extension,22880,12584,55.0,89,59,32
2025-Q4,PhaseI-26,Phase II,24700,15314,62.0,49,72,37
2025-Q1,PhaseI-27,Phase I,21920,15125,69.0,60,85,42
2025-Q2,PhaseI-28,Phase I Extension,24140,18346,76.0,71,98,47
2025-Q3,PhaseI-29,Phase II,25960,12461,48.0,82,40,52
2025-Q4,PhaseI-30,Phase I,23180,12749,55.0,93,53,57
2025-Q1,PhaseI-31,Phase I Extension,25400,15748,62.0,53,66,62
2025-Q2,PhaseI-32,Phase II,27220,18782,69.0,64,79,67
2025-Q3,PhaseI-33,Phase I,24440,18574,76.0,75,92,72
2025-Q4,PhaseI-34,Phase I Extension,26660,12797,48.0,86,34,77
2025-Q1,PhaseI-35,Phase II,28480,15664,55.0,46,47,82
2025-Q2,PhaseI-36,Phase I,25700,15934,62.0,57,60,22
2025-Q3,PhaseI-37,Phase I Extension,27920,19265,69.0,68,73,27
2025-Q4,PhaseI-38,Phase II,29740,22602,76.0,79,86,32
2025-Q1,PhaseI-39,Phase I,26960,12941,48.0,90,99,37
2025-Q2,PhaseI-40,Phase I Extension,29180,16049,55.0,50,41,42
2025-Q3,PhaseI-41,Phase II,31000,19220,62.0,61,54,47
2025-Q4,PhaseI-01,Phase I,11000,7590,69.0,72,67,52
2025-Q1,PhaseI-02,Phase I Extension,13220,10047,76.0,83,80,57
2025-Q2,PhaseI-03,Phase II,15040,7219,48.0,94,93,62
2025-Q3,PhaseI-04,Phase I,12260,6743,55.0,54,35,67
2025-Q4,PhaseI-05,Phase I Extension,14480,8978,62.0,65,48,72
2025-Q1,PhaseI-06,Phase II,16300,11247,69.0,76,61,77
2025-Q2,PhaseI-07,Phase I,13520,10275,76.0,87,74,82
2025-Q3,PhaseI-08,Phase I Extension,15740,7555,48.0,47,87,22
2025-Q4,PhaseI-09,Phase II,17560,9658,55.0,58,100,27
2025-Q1,PhaseI-10,Phase I,14780,9164,62.0,69,42,32
2025-Q2,PhaseI-11,Phase I Extension,17000,11730,69.0,80,55,37
2025-Q3,PhaseI-12,Phase II,18820,14303,76.0,91,68,42
2025-Q4,PhaseI-13,Phase I,16040,7699,48.0,51,81,47
2025-Q1,PhaseI-14,Phase I Extension,18260,10043,55.0,62,94,52
2025-Q2,PhaseI-15,Phase II,20080,12450,62.0,73,36,57
2025-Q3,PhaseI-16,Phase I,17300,11937,69.0,84,49,62
2025-Q4,PhaseI-17,Phase I Extension,19520,14835,76.0,95,62,67
2025-Q1,PhaseI-18,Phase II,21340,10243,48.0,55,75,72
2025-Q2,PhaseI-19,Phase I,18560,10208,55.0,66,88,77
2025-Q3,PhaseI-20,Phase I Extension,20780,12884,62.0,77,30,82
2025-Q4,PhaseI-21,Phase II,22600,15594,69.0,88,43,22
2025-Q1,PhaseI-22,Phase I,19820,15063,76.0,48,56,27
2025-Q2,PhaseI-23,Phase I Extension,22040,10579,48.0,59,69,32
2025-Q3,PhaseI-24,Phase II,23860,13123,55.0,70,82,37
2025-Q4,PhaseI-25,Phase I,21080,13070,62.0,81,95,42
2025-Q1,PhaseI-26,Phase I Extension,23300,16077,69.0,92,37,47
2025-Q2,PhaseI-27,Phase II,25120,19091,76.0,52,50,52
2025-Q3,PhaseI-28,Phase I,22340,10723,48.0,63,63,57
2025-Q4,PhaseI-29,Phase I Extension,24560,13508,55.0,74,76,62
2025-Q1,PhaseI-30,Phase II,26380,16356,62.0,85,89,67
2025-Q2,PhaseI-31,Phase I,23600,16284,69.0,45,31,72
2025-Q3,PhaseI-32,Phase I Extension,25820,19623,76.0,56,44,77
2025-Q4,PhaseI-33,Phase II,27640,13267,48.0,67,57,82
2025-Q1,PhaseI-34,Phase I,24860,13673,55.0,78,70,22
2025-Q2,PhaseI-35,Phase I Extension,27080,16790,62.0,89,83,27
2025-Q3,PhaseI-36,Phase II,28900,19941,69.0,49,96,32
2025-Q4,PhaseI-37,Phase I,26120,19851,76.0,60,38,37
2025-Q1,PhaseI-38,Phase I Extension,28340,13603,48.0,71,51,42
2025-Q2,PhaseI-39,Phase II,30160,16588,55.0,82,64,47
2025-Q3,PhaseI-40,Phase I,27380,16976,62.0,93,77,52
2025-Q4,PhaseI-41,Phase I Extension,29600,20424,69.0,53,90,57
